Id_Atenci¢n;Fecha;Hora_Acceso1;Turno;Posic1;delta1;deltaMinuto1;Desp1;delta2;HoraFechaPos1;HoraFechaDesp1;deltafecha2;Responsable;Tipo_carga;Min_Espera_O1;Min_Atenci¢n_O1;SUMA_ATENCION_O1_delta_3;Responsable_O1;Min_Atenci¢n_O2_delta_4;Responsable_O2;Min_port_salida_delta_5
637;27-01-2017;17:05:00;T2;17:06:41;0:01:41;1.68333;17:07:16;0:00:35;27-01-17 17:06:41;27-01-17 17:07:16;0.583333333;Inv1;Medicamentos;0.41;0.26;0.67;Inv4;1.54;Inv5;0.59
639;27-01-2017;17:08:00;T2;17:08:57;0:00:57;0.95000;17:11:21;0:02:24;27-01-17 17:08:57;27-01-17 17:11:21;2.399999995;Inv1;Textil;0.00;0.21;0.21;Inv4;1.27;Inv5;0.08
640;27-01-2017;17:08:00;T2;17:09:29;0:01:29;1.48333;17:11:25;0:01:56;27-01-17 17:09:29;27-01-17 17:11:25;1.933333335;Inv1;Textos ;0.18;0.38;0.56;Inv4;1.14;Inv5;0.28
642;27-01-2017;17:09:00;T2;17:11:36;0:02:36;2.60000;17:12:36;0:01:00;27-01-17 17:11:36;27-01-17 17:12:36;1.000000003;Inv1;Textos ;0.03;1.71;1.74;Inv4;10.27;Inv5;0.68
643;27-01-2017;17:10:00;T2;17:11:42;0:01:42;1.70000;17:13:29;0:01:47;27-01-17 17:11:42;27-01-17 17:13:29;1.783333331;Inv1;Textos ;0.00;0.76;0.76;Inv4;4.54;Inv5;0.90
644;27-01-2017;17:10:00;T2;17:13:16;0:03:16;3.26667;17:13:56;0:00:40;27-01-17 17:13:16;27-01-17 17:13:56;0.666666665;Inv1;Medicamentos;0.00;0.05;0.05;Inv4;0.25;Inv5;0.75
646;27-01-2017;17:15:00;T2;17:16:00;0:01:00;1.00000;17:17:41;0:01:41;27-01-17 17:16:00;27-01-17 17:17:41;1.683333329;Inv1;Medicamentos;0.00;2.31;2.31;Inv4;11.55;Inv5;0.10
647;27-01-2017;17:15:00;T2;17:16:26;0:01:26;1.43333;17:18:16;0:01:50;27-01-17 17:16:26;27-01-17 17:18:16;1.833333332;Inv1;Textos ;0.01;1.05;1.06;Inv4;5.26;Inv5;0.85
648;27-01-2017;17:15:00;T2;17:17:51;0:02:51;2.85000;17:18:36;0:00:45;27-01-17 17:17:51;27-01-17 17:18:36;0.750000008;Inv1;Medicamentos;0.67;0.03;0.70;Inv4;0.20;Inv5;0.90
649;27-01-2017;17:17:00;T2;17:18:40;0:01:40;1.66667;17:20:46;0:02:06;27-01-17 17:18:40;27-01-17 17:20:46;2.099999998;Inv1;Textos ;0.33;0.02;0.35;Inv4;0.09;Inv5;0.13
650;27-01-2017;17:16:00;T2;17:18:46;0:02:46;2.76667;17:20:45;0:01:59;27-01-17 17:18:46;27-01-17 17:20:45;1.983333336;Inv1;Textos ;0.33;0.69;1.02;Inv4;4.16;Inv5;0.87
651;27-01-2017;17:18:00;T2;17:21:01;0:03:01;3.01667;17:22:20;0:01:19;27-01-17 17:21:01;27-01-17 17:22:20;1.31666666;Inv1;Alimentos no perecibles;0.44;0.46;0.90;Inv4;2.29;Inv5;0.14
652;27-01-2017;17:22:00;T2;17:23:16;0:01:16;1.26667;17:24:20;0:01:04;27-01-17 17:23:16;27-01-17 17:24:20;1.066666665;Inv1;Textos ;0.03;0.03;0.05;Inv4;0.15;Inv5;0.39
653;27-01-2017;17:23:00;T2;17:23:58;0:00:58;0.96667;17:26:25;0:02:27;27-01-17 17:23:58;27-01-17 17:26:25;2.449999996;Inv1;Textos ;0.00;0.00;0.01;Inv4;0.01;Inv5;0.92
655;27-01-2017;17:24:00;T2;17:24:55;0:00:55;0.91667;17:26:10;0:01:15;27-01-17 17:24:55;27-01-17 17:26:10;1.249999999;Inv1;Textos ;0.20;0.15;0.34;Inv4;0.44;Inv5;0.91
656;27-01-2017;17:24:00;T2;17:26:29;0:02:29;2.48333;17:27:44;0:01:15;27-01-17 17:26:29;27-01-17 17:27:44;1.249999999;Inv1;Textil;0.35;0.01;0.35;Inv4;0.03;Inv5;0.43
657;27-01-2017;17:24:00;T2;17:26:40;0:02:40;2.66667;17:28:31;0:01:51;27-01-17 17:26:40;27-01-17 17:28:31;1.849999992;Inv1;Textil;0.32;0.03;0.35;Inv4;0.17;Inv5;0.73
658;27-01-2017;17:24:00;T2;17:26:45;0:02:45;2.75000;17:28:17;0:01:32;27-01-17 17:26:45;27-01-17 17:28:17;1.533333336;Inv1;Textil;0.55;0.07;0.62;Inv4;0.21;Inv5;0.04
659;27-01-2017;17:26:00;T2;17:27:59;0:01:59;1.98333;17:28:29;0:00:30;27-01-17 17:27:59;27-01-17 17:28:29;0.500000002;Inv1;Medicamentos;0.04;0.67;0.71;Inv4;3.36;Inv5;0.26
660;27-01-2017;17:27:00;T2;17:28:45;0:01:45;1.75000;17:29:58;0:01:13;27-01-17 17:28:45;27-01-17 17:29:58;1.216666668;Inv1;Alimentos no perecibles;0.10;0.56;0.65;Inv4;3.35;Inv5;0.10
661;27-01-2017;17:26:00;T2;17:29:04;0:03:04;3.06667;17:30:57;0:01:53;27-01-17 17:29:04;27-01-17 17:30:57;1.883333334;Inv1;Textil;0.20;0.14;0.34;Inv4;0.84;Inv5;0.42
662;27-01-2017;17:29:00;T2;17:30:28;0:01:28;1.46667;17:33:17;0:02:49;27-01-17 17:30:28;27-01-17 17:33:17;2.816666665;Inv1;Textos ;0.17;1.30;1.47;Inv4;5.19;Inv5;0.09
663;27-01-2017;17:29:00;T2;17:30:50;0:01:50;1.83333;17:32:11;0:01:21;27-01-17 17:30:50;27-01-17 17:32:11;1.350000001;Inv1;Medicamentos;0.50;1.41;1.91;Inv4;8.43;Inv5;0.98
665;27-01-2017;17:31:00;T2;17:31:52;0:00:52;0.86667;17:33:21;0:01:29;27-01-17 17:31:52;27-01-17 17:33:21;1.483333334;Inv1;Medicamentos;0.75;0.44;1.19;Inv4;1.33;Inv5;0.59
667;27-01-2017;17:34:00;T2;17:35:37;0:01:37;1.61667;17:37:58;0:02:21;27-01-17 17:35:37;27-01-17 17:37:58;2.350000005;Inv1;Textos ;0.11;0.43;0.54;Inv4;2.56;Inv5;0.97
668;27-01-2017;17:09:00;T2;17:36:30;0:27:30;27.50000;17:38:23;0:01:53;27-01-17 17:36:30;27-01-17 17:38:23;1.883333334;Inv1;Textos ;0.05;0.61;0.66;Inv4;3.07;Inv5;0.43
669;27-01-2017;17:36:00;T2;17:37:05;0:01:05;1.08333;17:39:13;0:02:08;27-01-17 17:37:05;27-01-17 17:39:13;2.13333334;Inv1;Textil;0.00;0.05;0.05;Inv4;0.26;Inv5;0.74
671;27-01-2017;17:36:00;T2;17:39:35;0:03:35;3.58333;17:42:20;0:02:45;27-01-17 17:39:35;27-01-17 17:42:20;2.749999993;Inv1;Alimentos no perecibles;0.01;3.56;3.58;Inv4;17.81;Inv5;0.74
672;27-01-2017;17:40:00;T2;17:41:02;0:01:02;1.03333;17:42:26;0:01:24;27-01-17 17:41:02;27-01-17 17:42:26;1.400000002;Inv1;Textos ;0.11;0.01;0.12;Inv4;0.05;Inv5;0.64
673;27-01-2017;17:40:00;T2;17:41:38;0:01:38;1.63333;17:42:58;0:01:20;27-01-17 17:41:38;27-01-17 17:42:58;1.333333331;Inv1;Textos ;0.05;0.38;0.43;Inv4;1.54;Inv5;0.42
674;27-01-2017;17:41:00;T2;17:42:43;0:01:43;1.71667;17:43:36;0:00:53;27-01-17 17:42:43;27-01-17 17:43:36;0.88333333;Inv1;Medicamentos;0.01;0.71;0.72;Inv4;2.12;Inv5;0.10
675;27-01-2017;17:18:00;T2;17:43:10;0:25:10;25.16667;17:44:43;0:01:33;27-01-17 17:43:10;27-01-17 17:44:43;1.549999996;Inv1;Textos ;0.51;0.09;0.60;Inv4;0.36;Inv5;0.97
679;27-01-2017;17:43:00;T2;17:45:23;0:02:23;2.38333;17:47:16;0:01:53;27-01-17 17:45:23;27-01-17 17:47:16;1.883333334;Inv1;Textil;0.12;0.09;0.21;Inv4;0.38;Inv5;0.63
680;27-01-2017;17:44:00;T2;17:45:24;0:01:24;1.40000;17:47:18;0:01:54;27-01-17 17:45:24;27-01-17 17:47:18;1.899999994;Inv1;Textil;0.91;0.04;0.95;Inv4;0.22;Inv5;0.16
681;27-01-2017;17:44:00;T2;17:46:03;0:02:03;2.05000;17:47:12;0:01:09;27-01-17 17:46:03;27-01-17 17:47:12;1.150000007;Inv1;Medicamentos;0.43;2.12;2.55;Inv4;6.36;Inv5;0.72
682;27-01-2017;17:44:00;T2;17:47:25;0:03:25;3.41667;17:48:10;0:00:45;27-01-17 17:47:25;27-01-17 17:48:10;0.749999997;Inv1;Medicamentos;0.18;0.27;0.45;Inv4;0.81;Inv5;0.36
683;27-01-2017;17:44:00;T2;17:47:31;0:03:31;3.51667;17:49:56;0:02:25;27-01-17 17:47:31;27-01-17 17:49:56;2.416666666;Inv1;Textos ;0.27;0.04;0.31;Inv4;0.14;Inv5;0.39
684;27-01-2017;17:45:00;T2;17:47:37;0:02:37;2.61667;17:51:04;0:03:27;27-01-17 17:47:37;27-01-17 17:51:04;3.45;Inv1;Textil;0.80;1.23;2.03;Inv4;3.69;Inv5;0.47
685;27-01-2017;17:47:00;T2;17:48:23;0:01:23;1.38333;17:51:31;0:03:08;27-01-17 17:48:23;27-01-17 17:51:31;3.133333332;Inv1;Textil;0.09;0.07;0.15;Inv4;0.34;Inv5;0.96
686;27-01-2017;17:47:00;T2;17:51:43;0:04:43;4.71667;17:53:42;0:01:59;27-01-17 17:51:43;27-01-17 17:53:42;1.983333336;Inv1;Textos ;0.22;0.12;0.34;Inv4;0.71;Inv5;0.08
687;27-01-2017;17:48:00;T2;17:52:05;0:04:05;4.08333;17:53:23;0:01:18;27-01-17 17:52:05;27-01-17 17:53:23;1.3;Inv1;Medicamentos;0.08;0.73;0.82;Inv4;2.20;Inv5;0.13
689;27-01-2017;17:49:00;T2;17:54:01;0:05:01;5.01667;17:56:01;0:02:00;27-01-17 17:54:01;27-01-17 17:56:01;2.000000007;Inv1;Textil;0.00;0.01;0.02;Inv4;0.09;Inv5;0.02
690;27-01-2017;17:48:00;T2;17:54:01;0:06:01;6.01667;17:55:03;0:01:02;27-01-17 17:54:01;27-01-17 17:55:03;1.033333334;Inv1;Textil;0.89;0.02;0.91;Inv4;0.07;Inv5;0.64
691;27-01-2017;17:50:00;T2;17:54:10;0:04:10;4.16667;17:55:18;0:01:08;27-01-17 17:54:10;27-01-17 17:55:18;1.133333336;Inv1;Medicamentos;1.67;0.31;1.99;Inv4;0.94;Inv5;0.37
692;27-01-2017;17:52:00;T2;17:55:26;0:03:26;3.43333;17:56:22;0:00:56;27-01-17 17:55:26;27-01-17 17:56:22;0.933333331;Inv1;Textos ;2.39;0.12;2.52;Inv4;0.49;Inv5;0.58
696;27-01-2017;17:56:00;T2;17:56:51;0:00:51;0.85000;18:01:41;0:04:50;27-01-17 17:56:51;27-01-17 18:01:41;4.833333332;Inv1;Textil;0.12;0.01;0.13;Inv4;0.06;Inv5;0.75
697;27-01-2017;17:58:00;T2;17:59:14;0:01:14;1.23333;18:00:34;0:01:20;27-01-17 17:59:14;27-01-17 18:00:34;1.333333331;Inv1;Textos ;0.46;0.14;0.60;Inv4;0.72;Inv5;0.22
698;27-01-2017;17:59:00;T2;17:59:59;0:00:59;0.98333;18:01:36;0:01:37;27-01-17 17:59:59;27-01-17 18:01:36;1.616666667;Inv1;Textil;0.29;0.14;0.43;Inv4;0.87;Inv5;0.85
699;27-01-2017;18:00:00;T2;18:00:53;0:00:53;0.88333;18:04:27;0:03:34;27-01-17 18:00:53;27-01-17 18:04:27;3.566666673;Inv1;Alimentos no perecibles;2.80;0.00;2.80;Inv4;0.01;Inv5;0.62
700;27-01-2017;17:59:00;T2;18:00:57;0:01:57;1.95000;18:01:49;0:00:52;27-01-17 18:00:57;27-01-17 18:01:49;0.86666666;Inv1;Textos ;0.01;0.95;0.96;Inv4;4.74;Inv5;0.77
702;27-01-2017;17:58:00;T2;18:02:01;0:04:01;4.01667;18:04:01;0:02:00;27-01-17 18:02:01;27-01-17 18:04:01;1.999999996;Inv1;Textos ;0.34;0.55;0.88;Inv4;1.64;Inv5;0.52
703;27-01-2017;18:00:00;T2;18:02:05;0:02:05;2.08333;18:02:45;0:00:40;27-01-17 18:02:05;27-01-17 18:02:45;0.666666665;Inv1;Medicamentos;0.20;0.52;0.72;Inv4;2.08;Inv5;0.49
704;27-01-2017;18:02:00;T2;18:03:08;0:01:08;1.13333;18:04:25;0:01:17;27-01-17 18:03:08;27-01-17 18:04:25;1.283333329;Inv1;Textos ;0.44;0.54;0.98;Inv4;3.23;Inv5;0.03
706;27-01-2017;18:03:00;T2;18:04:48;0:01:48;1.80000;18:11:12;0:06:24;27-01-17 18:04:48;27-01-17 18:11:12;6.399999998;Inv1;Alimentos no perecibles;0.09;0.48;0.57;Inv4;1.92;Inv5;0.87
708;27-01-2017;18:06:00;T2;18:07:13;0:01:13;1.21667;18:08:26;0:01:13;27-01-17 18:07:13;27-01-17 18:08:26;1.216666668;Inv1;Textil;0.76;2.69;3.45;Inv4;13.46;Inv5;0.82
709;27-01-2017;18:07:00;T2;18:07:34;0:00:34;0.56667;18:13:13;0:05:39;27-01-17 18:07:34;27-01-17 18:13:13;5.650000001;Inv1;Medicamentos;0.29;0.98;1.27;Inv4;4.91;Inv5;0.78
710;27-01-2017;18:07:00;T2;18:08:03;0:01:03;1.05000;18:10:34;0:02:31;27-01-17 18:08:03;27-01-17 18:10:34;2.516666668;Inv1;Textos ;0.15;0.06;0.21;Inv4;0.30;Inv5;0.74
712;27-01-2017;18:07:00;T2;18:09:24;0:02:24;2.40000;18:10:05;0:00:41;27-01-17 18:09:24;27-01-17 18:10:05;0.683333336;Inv1;Medicamentos;0.02;2.71;2.72;Inv4;13.54;Inv5;0.13
714;27-01-2017;18:10:00;T2;18:10:32;0:00:32;0.53333;18:11:02;0:00:30;27-01-17 18:10:32;27-01-17 18:11:02;0.500000002;Inv1;Medicamentos;0.00;0.22;0.23;Inv4;0.67;Inv5;0.26
715;27-01-2017;18:07:00;T2;18:10:52;0:03:52;3.86667;18:12:58;0:02:06;27-01-17 18:10:52;27-01-17 18:12:58;2.099999998;Inv1;Textos ;0.01;4.73;4.74;Inv4;18.91;Inv5;0.78
716;27-01-2017;18:09:00;T2;18:11:35;0:02:35;2.58333;18:15:15;0:03:40;27-01-17 18:11:35;27-01-17 18:15:15;3.666666665;Inv1;Textos ;0.22;0.13;0.35;Inv4;0.54;Inv5;0.47
717;27-01-2017;18:11:00;T2;18:12:30;0:01:30;1.50000;18:13:57;0:01:27;27-01-17 18:12:30;27-01-17 18:13:57;1.450000004;Inv1;Textos ;0.00;0.03;0.03;Inv4;0.08;Inv5;0.04
718;27-01-2017;18:07:00;T2;18:13:13;0:06:13;6.21667;18:17:10;0:03:57;27-01-17 18:13:13;27-01-17 18:17:10;3.950000001;Inv1;Textil;0.00;0.39;0.39;Inv4;1.96;Inv5;0.11
720;27-01-2017;18:13:00;T2;18:13:55;0:00:55;0.91667;18:14:38;0:00:43;27-01-17 18:13:55;27-01-17 18:14:38;0.716666667;Inv1;Medicamentos;0.00;0.15;0.15;Inv4;0.44;Inv5;0.09
722;27-01-2017;18:14:00;T2;18:15:32;0:01:32;1.53333;18:16:49;0:01:17;27-01-17 18:15:32;27-01-17 18:16:49;1.28333334;Inv1;Textos ;0.01;0.12;0.14;Inv4;0.74;Inv5;0.93
724;27-01-2017;18:16:00;T2;18:17:05;0:01:05;1.08333;18:17:39;0:00:34;27-01-17 18:17:05;27-01-17 18:17:39;0.566666663;Inv1;Medicamentos;0.02;0.18;0.20;Inv4;0.54;Inv5;0.16
726;27-01-2017;18:16:00;T2;18:17:37;0:01:37;1.61667;18:19:36;0:01:59;27-01-17 18:17:37;27-01-17 18:19:36;1.983333336;Inv1;Textos ;0.15;0.00;0.15;Inv4;0.01;Inv5;0.74
727;27-01-2017;18:16:00;T2;18:17:55;0:01:55;1.91667;18:18:55;0:01:00;27-01-17 18:17:55;27-01-17 18:18:55;1.000000003;Inv1;Textos ;0.02;0.18;0.21;Inv4;0.55;Inv5;0.33
728;27-01-2017;18:16:00;T2;18:18:02;0:02:02;2.03333;18:19:37;0:01:35;27-01-17 18:18:02;27-01-17 18:19:37;1.583333326;Inv1;Medicamentos;0.21;0.21;0.43;Inv4;0.86;Inv5;0.39
729;27-01-2017;18:18:00;T2;18:19:30;0:01:30;1.50000;18:21:31;0:02:01;27-01-17 18:19:30;27-01-17 18:21:31;2.016666667;Inv1;Textil;0.00;0.12;0.12;Inv4;0.47;Inv5;0.21
730;27-01-2017;18:17:00;T2;18:20:02;0:03:02;3.03333;18:22:57;0:02:55;27-01-17 18:20:02;27-01-17 18:22:57;2.916666667;Inv1;Medicamentos;0.01;0.02;0.03;Inv4;0.10;Inv5;0.98
731;27-01-2017;18:20:00;T2;18:21:53;0:01:53;1.88333;18:23:44;0:01:51;27-01-17 18:21:53;27-01-17 18:23:44;1.849999992;Inv1;Textil;0.42;0.59;1.01;Inv4;1.77;Inv5;0.49
732;27-01-2017;18:21:00;T2;18:22:01;0:01:01;1.01667;18:22:38;0:00:37;27-01-17 18:22:01;27-01-17 18:22:38;0.616666664;Inv1;Medicamentos;0.09;0.14;0.23;Inv4;0.70;Inv5;0.99
733;27-01-2017;18:23:00;T2;18:23:53;0:00:53;0.88333;18:25:23;0:01:30;27-01-17 18:23:53;27-01-17 18:25:23;1.500000005;Inv1;Textil;0.29;0.32;0.60;Inv4;1.58;Inv5;0.28
734;27-01-2017;18:24:00;T2;18:25:02;0:01:02;1.03333;18:26:32;0:01:30;27-01-17 18:25:02;27-01-17 18:26:32;1.500000005;Inv1;Medicamentos;0.13;0.36;0.49;Inv4;1.44;Inv5;0.01
735;27-01-2017;18:26:00;T2;18:26:36;0:00:36;0.60000;18:28:08;0:01:32;27-01-17 18:26:36;27-01-17 18:28:08;1.533333325;Inv1;Medicamentos;0.10;0.03;0.13;Inv4;0.15;Inv5;0.14
736;27-01-2017;18:26:00;T2;18:27:16;0:01:16;1.26667;18:28:39;0:01:23;27-01-17 18:27:16;27-01-17 18:28:39;1.383333332;Inv1;Textil;0.03;0.25;0.28;Inv4;0.75;Inv5;0.58
738;27-01-2017;18:29:00;T2;18:30:04;0:01:04;1.06667;18:31:22;0:01:18;27-01-17 18:30:04;27-01-17 18:31:22;1.3;Inv1;Textos ;0.09;2.88;2.98;Inv4;11.54;Inv5;0.47
739;27-01-2017;18:29:00;T2;18:31:57;0:02:57;2.95000;18:33:01;0:01:04;27-01-17 18:31:57;27-01-17 18:33:01;1.066666665;Inv1;Medicamentos;0.53;0.27;0.80;Inv4;1.61;Inv5;0.60
741;27-01-2017;18:32:00;T2;18:33:31;0:01:31;1.51667;18:37:23;0:03:52;27-01-17 18:33:31;27-01-17 18:37:23;3.866666669;Inv1;Textos ;0.42;0.38;0.80;Inv4;2.29;Inv5;0.92
742;27-01-2017;18:33:00;T2;18:34:24;0:01:24;1.40000;18:37:24;0:03:00;27-01-17 18:34:24;27-01-17 18:37:24;3.00000001;Inv1;Textos ;1.29;0.35;1.64;Inv4;2.10;Inv5;0.58
743;27-01-2017;18:35:00;T2;18:35:31;0:00:31;0.51667;18:36:32;0:01:01;27-01-17 18:35:31;27-01-17 18:36:32;1.016666663;Inv1;Textos ;0.18;0.01;0.19;Inv4;0.05;Inv5;0.91
744;27-01-2017;18:35:00;T2;18:37:41;0:02:41;2.68333;18:38:22;0:00:41;27-01-17 18:37:41;27-01-17 18:38:22;0.683333336;Inv1;Medicamentos;0.05;1.10;1.14;Inv4;3.29;Inv5;0.15
745;27-01-2017;18:24:00;T2;18:37:43;0:13:43;13.71667;18:39:32;0:01:49;27-01-17 18:37:43;27-01-17 18:39:32;1.816666672;Inv1;Textos ;0.01;0.01;0.02;Inv4;0.08;Inv5;0.01
746;27-01-2017;18:35:00;T2;18:38:37;0:03:37;3.61667;18:40:38;0:02:01;27-01-17 18:38:37;27-01-17 18:40:38;2.016666667;Inv1;Textil;0.07;0.00;0.07;Inv4;0.01;Inv5;0.90
747;27-01-2017;18:35:00;T2;18:39:47;0:04:47;4.78333;18:42:03;0:02:16;27-01-17 18:39:47;27-01-17 18:42:03;2.266666673;Inv1;Textil;0.09;0.02;0.11;Inv4;0.10;Inv5;0.25
748;27-01-2017;18:36:00;T2;18:40:18;0:04:18;4.30000;18:40:58;0:00:40;27-01-17 18:40:18;27-01-17 18:40:58;0.666666665;Inv1;Medicamentos;0.21;0.11;0.33;Inv4;0.34;Inv5;0.49
749;27-01-2017;18:36:00;T2;18:40:52;0:04:52;4.86667;18:42:12;0:01:20;27-01-17 18:40:52;27-01-17 18:42:12;1.333333331;Inv1;Medicamentos;0.22;0.44;0.66;Inv4;1.76;Inv5;0.43
751;27-01-2017;18:43:00;T2;18:44:22;0:01:22;1.36667;18:46:27;0:02:05;27-01-17 18:44:22;27-01-17 18:46:27;2.083333338;Inv1;Textos ;0.10;0.00;0.11;Inv4;0.03;Inv5;0.47
752;27-01-2017;18:44:00;T2;18:44:32;0:00:32;0.53333;18:45:37;0:01:05;27-01-17 18:44:32;27-01-17 18:45:37;1.083333335;Inv1;Medicamentos;0.11;0.01;0.12;Inv4;0.02;Inv5;0.07
755;27-01-2017;18:44:00;T2;18:45:49;0:01:49;1.81667;18:46:17;0:00:28;27-01-17 18:45:49;27-01-17 18:46:17;0.466666661;Inv1;Medicamentos;0.09;0.04;0.14;Inv4;0.18;Inv5;0.80
756;27-01-2017;18:45:00;T2;18:46:59;0:01:59;1.98333;18:48:24;0:01:25;27-01-17 18:46:59;27-01-17 18:48:24;1.416666663;Inv1;Textos ;0.07;0.45;0.52;Inv4;2.71;Inv5;0.81
758;27-01-2017;18:48:00;T2;18:48:58;0:00:58;0.96667;18:49:59;0:01:01;27-01-17 18:48:58;27-01-17 18:49:59;1.016666674;Inv1;Medicamentos;0.34;0.11;0.45;Inv4;0.45;Inv5;0.66
760;27-01-2017;18:54:00;T2;19:04:21;0:10:21;10.35000;19:05:56;0:01:35;27-01-17 19:04:21;27-01-17 19:05:56;1.583333337;Inv1;Textos ;0.09;0.00;0.09;Inv4;0.01;Inv5;0.06
761;27-01-2017;18:55:00;T2;19:04:30;0:09:30;9.50000;19:05:40;0:01:10;27-01-17 19:04:30;27-01-17 19:05:40;1.166666667;Inv1;Medicamentos;0.29;0.21;0.50;Inv4;0.84;Inv5;0.91
762;27-01-2017;18:55:00;T2;19:05:12;0:10:12;10.20000;19:05:50;0:00:38;27-01-17 19:05:12;27-01-17 19:05:50;0.633333335;Inv1;Medicamentos;0.17;0.08;0.25;Inv4;0.23;Inv5;0.94
763;27-01-2017;18:56:00;T2;19:06:05;0:10:05;10.08333;19:06:36;0:00:31;27-01-17 19:06:05;27-01-17 19:06:36;0.516666662;Inv1;Medicamentos;0.64;0.03;0.67;Inv4;0.12;Inv5;0.15
765;27-01-2017;18:57:00;T2;19:06:16;0:09:16;9.26667;19:08:31;0:02:15;27-01-17 19:06:16;27-01-17 19:08:31;2.249999992;Inv1;Textos ;1.05;0.01;1.06;Inv4;0.02;Inv5;0.67
770;27-01-2017;18:59:00;T2;19:08:51;0:09:51;9.85000;19:10:35;0:01:44;27-01-17 19:08:51;27-01-17 19:10:35;1.73333333;Inv1;Medicamentos;0.17;0.03;0.20;Inv4;0.17;Inv5;0.02
772;27-01-2017;19:00:00;T2;19:09:17;0:09:17;9.28333;19:10:12;0:00:55;27-01-17 19:09:17;27-01-17 19:10:12;0.916666671;Inv1;Medicamentos;0.02;0.20;0.22;Inv4;1.02;Inv5;0.01
790;27-01-2017;18:51:00;T2;19:20:29;0:29:29;29.48333;19:21:57;0:01:28;27-01-17 19:20:29;27-01-17 19:21:57;1.466666674;Inv1;Medicamentos;0.10;0.66;0.76;Inv4;3.28;Inv5;0.86
796;24-02-2017;NA;T2;18:59:12;#­VALOR!;0.00000;19:03:05;0:03:53;24-02-17 18:59:12;24-02-17 19:03:05;3.88333334;Inv1;Textos ;0.37;0.01;0.38;Inv4;0.07;Inv5;0.39
797;24-02-2017;NA;T2;19:32:28;#­VALOR!;0.00000;19:34:18;0:01:50;24-02-17 19:32:28;24-02-17 19:34:18;1.833333332;Inv1;Textil;0.04;0.01;0.06;Inv4;0.04;Inv5;0.78
799;24-02-2017;NA;T2;19:06:22;#­VALOR!;0.00000;19:08:47;0:02:25;24-02-17 19:06:22;24-02-17 19:08:47;2.416666666;Inv1;Textos ;0.44;0.08;0.52;Inv4;0.24;Inv5;0.10
800;24-02-2017;NA;T2;19:03:18;#­VALOR!;0.00000;19:05:55;0:02:37;24-02-17 19:03:18;24-02-17 19:05:55;2.61666666;Inv1;Textos ;0.10;0.43;0.53;Inv4;1.30;Inv5;0.19
803;24-02-2017;NA;T2;19:24:59;#­VALOR!;0.00000;19:28:05;0:03:06;24-02-17 19:24:59;24-02-17 19:28:05;3.100000002;Inv1;Textil;0.02;0.00;0.02;Inv4;0.01;Inv5;0.41
804;24-02-2017;NA;T2;19:59:09;#­VALOR!;0.00000;20:00:39;0:01:30;24-02-17 19:59:09;24-02-17 20:00:39;1.499999994;Inv1;Textos ;0.24;0.07;0.31;Inv4;0.35;Inv5;0.19
805;24-02-2017;NA;T2;19:51:53;#­VALOR!;0.00000;19:52:48;0:00:55;24-02-17 19:51:53;24-02-17 19:52:48;0.916666661;Inv1;Medicamentos;0.12;0.10;0.22;Inv4;0.30;Inv5;0.67
806;24-02-2017;NA;T2;19:19:26;#­VALOR!;0.00000;19:22:03;0:02:37;24-02-17 19:19:26;24-02-17 19:22:03;2.61666666;Inv1;Alimentos no perecibles;0.60;0.13;0.73;Inv4;0.39;Inv5;0.42
807;24-02-2017;NA;T2;19:22:19;#­VALOR!;0.00000;19:24:45;0:02:26;24-02-17 19:22:19;24-02-17 19:24:45;2.433333336;Inv1;Alimentos no perecibles;0.08;0.00;0.09;Inv4;0.01;Inv5;0.36
808;24-02-2017;NA;T2;19:10:48;#­VALOR!;0.00000;19:12:34;0:01:46;24-02-17 19:10:48;24-02-17 19:12:34;1.766666671;Inv1;Textil;0.36;0.37;0.73;Inv4;1.83;Inv5;0.11
809;24-02-2017;NA;T2;19:28:23;#­VALOR!;0.00000;19:32:14;0:03:51;24-02-17 19:28:23;24-02-17 19:32:14;3.849999999;Inv1;Textos ;0.22;3.73;3.94;Inv4;11.18;Inv5;0.99
810;24-02-2017;NA;T2;19:38:20;#­VALOR!;0.00000;19:42:00;0:03:40;24-02-17 19:38:20;24-02-17 19:42:00;3.666666665;Inv1;Medicamentos;0.03;0.01;0.04;Inv4;0.07;Inv5;0.05
811;24-02-2017;NA;T2;19:34:26;#­VALOR!;0.00000;19:36:30;0:02:04;24-02-17 19:34:26;24-02-17 19:36:30;2.066666668;Inv1;Medicamentos;0.01;0.30;0.32;Inv4;1.52;Inv5;0.52
812;24-02-2017;NA;T2;19:47:23;#­VALOR!;0.00000;19:48:27;0:01:04;24-02-17 19:47:23;24-02-17 19:48:27;1.066666665;Inv1;Medicamentos;0.38;1.84;2.22;Inv4;7.36;Inv5;0.61
813;24-02-2017;NA;T2;19:17:12;#­VALOR!;0.00000;19:17:53;0:00:41;24-02-17 19:17:12;24-02-17 19:17:53;0.683333325;Inv1;Alimentos no perecibles;0.22;0.00;0.23;Inv4;0.02;Inv5;0.74
814;24-02-2017;NA;T2;19:53:00;#­VALOR!;0.00000;19:54:59;0:01:59;24-02-17 19:53:00;24-02-17 19:54:59;1.983333336;Inv1;Alimentos no perecibles;0.44;0.02;0.46;Inv4;0.10;Inv5;0.16
